diablo,https://www.igdb.com/games/diablo-ii
skyrim,https://www.igdb.com/games/the-elder-scrolls-v-skyrim-legendary-edition
ac,https://www.igdb.com/games/assassins-creed-origins
batman,https://www.igdb.com/games/batman-arkham-city
witcher,https://www.igdb.com/games/the-witcher-3-wild-hunt
ds,https://www.igdb.com/games/dark-souls-iii
DOTA2,https://www.igdb.com/games/dota-2
HMM3,https://www.igdb.com/games/heroes-of-might-and-magic-iii-hd-edition
BGII,https://www.igdb.com/games/baldur-s-gate-ii-enhanced-edition
SMO,https://www.igdb.com/games/super-mario-odyssey
ori,https://www.igdb.com/games/ori-and-the-blind-forest
hl2,https://www.igdb.com/games/half-life-2
sc2,https://www.igdb.com/games/starcraft-ii-wings-of-liberty
F3,https://www.igdb.com/games/fallout-3
tloz,https://www.igdb.com/games/the-legend-of-zelda-breath-of-the-wild
portal2,https://www.igdb.com/games/portal-2
nfsug,https://www.igdb.com/games/need-for-speed-underground-2
gta,https://www.igdb.com/games/grand-theft-auto-san-andreas
pubg,https://www.igdb.com/games/playerunknowns-battlegrounds
bb,https://www.igdb.com/games/bloodborne
hk,https://www.igdb.com/games/hollow-knight
CSGO,https://www.igdb.com/games/counter-strike-global-offensive
MC,https://www.igdb.com/games/minecraft
littleBigPlanet,https://www.igdb.com/games/littlebigplanet
legoStarWars,https://www.igdb.com/games/lego-star-wars-the-force-awakens
